process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.3,84,custom_dfa,0.297130403008054,-0.21634291141521472
fGn,0.3,85,custom_rs,0.3693567274153205,-0.23560473574491536
fGn,0.3,85,custom_dfa,0.2788990734047114,-0.23560473574491536
fGn,0.3,86,custom_rs,0.38336566636822916,-0.237037925474522
fGn,0.3,86,custom_dfa,0.31310853663245314,-0.237037925474522
fGn,0.3,87,custom_rs,0.396683973236511,-0.2436890659803917
fGn,0.3,87,custom_dfa,0.2950006405063528,-0.2436890659803917
fGn,0.3,88,custom_rs,0.37811093871035906,-0.26252430131060217
fGn,0.3,88,custom_dfa,0.2921531138183752,-0.26252430131060217
fGn,0.3,89,custom_rs,0.38135894949370763,-0.24666114883938184
fGn,0.3,89,custom_dfa,0.3253914405744971,-0.24666114883938184
fGn,0.3,90,custom_rs,0.35018289951757875,-0.2417330230761074
fGn,0.3,90,custom_dfa,0.25558156175430896,-0.2417330230761074
fGn,0.3,91,custom_rs,0.3892075802280763,-0.22531229264866767
fGn,0.3,91,custom_dfa,0.30475578286741306,-0.22531229264866767
fGn,0.3,92,custom_rs,0.3751190400240947,-0.26063650231779173
fGn,0.3,92,custom_dfa,0.2841809302204361,-0.26063650231779173
fGn,0.3,93,custom_rs,0.3688481436811291,-0.2544446517879963
fGn,0.3,93,custom_dfa,0.3032285200113914,-0.2544446517879963
fGn,0.3,94,custom_rs,0.3775827318721067,-0.24394727508038086
fGn,0.3,94,custom_dfa,0.29375071224786836,-0.24394727508038086
fGn,0.3,95,custom_rs,0.3741557888013513,-0.2406870174058655
fGn,0.3,95,custom_dfa,0.28084011126938335,-0.2406870174058655
fGn,0.3,96,custom_rs,0.36182552377192667,-0.266814858813593
fGn,0.3,96,custom_dfa,0.29169691521771884,-0.266814858813593
fGn,0.3,97,custom_rs,0.37954098650071283,-0.23415325181017024
fGn,0.3,97,custom_dfa,0.2933910579222655,-0.23415325181017024
fGn,0.3,98,custom_rs,0.3687333410273618,-0.24274846235369127
fGn,0.3,98,custom_dfa,0.2957507917785005,-0.24274846235369127
fGn,0.3,99,custom_rs,0.39097682014651186,-0.23113647893969444
fGn,0.3,99,custom_dfa,0.3162663736274858,-0.23113647893969444
fGn,0.5,0,custom_rs,0.5409623881036054,0.005336086144898391
fGn,0.5,0,custom_dfa,0.4848640610126974,0.005336086144898391
fGn,0.5,0,nolds_rs,0.4862428468128209,0.005336086144898391
fGn,0.5,0,nolds_dfa,0.508048736701487,0.005336086144898391
fGn,0.5,1,custom_rs,0.5462669977839452,-0.0012910151311422752
fGn,0.5,1,custom_dfa,0.48822942451275664,-0.0012910151311422752
fGn,0.5,1,nolds_rs,0.5204477033575435,-0.0012910151311422752
fGn,0.5,1,nolds_dfa,0.5207238630453468,-0.0012910151311422752
